window_number,query_registered_at,first_data_received_at,expected_window_close,last_chunk_received_at,interval_trigger_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,interval_wait_ms,computation_ms,result_value
3,1766091006080,1766091566913,1766091246080,1766091836654,1766091836654,1766091836661,590581,29748,0,7,-10.632902425531915
3,1766091277226,1766091566913,1766091517226,1766091836654,1766091836654,1766091836661,319435,29748,0,7,-10.632902425531915
3,1766091535196,1766091566913,1766091775196,1766091836654,1766091836654,1766091836662,61466,29749,0,8,-10.632902425531915
3,1766089486272,1766091566913,1766089726272,1766091836654,1766091836654,1766091836663,2110391,29750,0,9,-10.632902425531915
1,1766091824223,1766091825600,1766091944223,1766091866860,1766091884261,1766091884711,-59512,-60889,17401,450,-10.588291846689895
4,1766091006080,1766091566913,1766091306080,1766091866860,1766091906128,1766091906149,600069,39236,39268,21,-10.588291846689895
4,1766091277226,1766091566913,1766091577226,1766091866860,1766091937281,1766091937316,360090,70403,70421,35,-10.588291846689895
4,1766089486272,1766091566913,1766089786272,1766091866860,1766091946353,1766091946382,2160110,79469,79493,29,-10.534303214788734
4,1766091535196,1766091566913,1766091835196,1766091866860,1766091955235,1766091955265,120069,88352,88375,30,-10.534303214788734
5,1766091535196,1766091566913,1766091895196,1766092598735,1766092598735,1766092598750,703554,671837,0,15,-11.63579081081081
5,1766091277226,1766091566913,1766091637226,1766092598737,1766092598737,1766092598750,961524,671837,0,13,-11.63579081081081
5,1766089486272,1766091566913,1766089846272,1766092598735,1766092598735,1766092598750,2752478,671837,0,15,-11.63579081081081
5,1766091006080,1766091566913,1766091366080,1766092598735,1766092598735,1766092598752,1232672,671839,0,17,-11.63579081081081
2,1766091824223,1766091825600,1766092004223,1766092598735,1766092598735,1766092598758,594535,593158,0,23,-11.63579081081081
3,1766091824223,1766091825600,1766092064223,1766092646876,1766092664273,1766092664286,600063,598686,17397,13,-10.875072344202898
6,1766091277226,1766091566913,1766091697226,1766092665831,1766092665831,1766092665840,968614,678927,0,9,-9.451246526927138
6,1766091006080,1766091566913,1766091426080,1766092665831,1766092665831,1766092665842,1239762,678929,0,11,-9.451246526927138
6,1766091535196,1766091566913,1766091955196,1766092665831,1766092665831,1766092665843,710647,678930,0,12,-9.451246526927138
6,1766089486272,1766091566913,1766089906272,1766092665831,1766092665831,1766092665845,2759573,678932,0,14,-9.451246526927138
7,1766089486272,1766091566913,1766089966272,1766092725927,1766092725927,1766092725944,2759672,679031,0,17,-11.365900374551972
7,1766091277226,1766091566913,1766091757226,1766092725930,1766092725930,1766092725944,968718,679031,0,14,-11.365900374551972
7,1766091006080,1766091566913,1766091486080,1766092725930,1766092725930,1766092725948,1239868,679035,0,18,-11.365900374551972
7,1766091535196,1766091566913,1766092015196,1766092725930,1766092725930,1766092725955,710759,679042,0,25,-11.365900374551972
4,1766091824223,1766091825600,1766092124223,1766092725930,1766092725930,1766092725956,601733,600356,0,26,-11.365900374551972
8,1766089486272,1766091566913,1766090026272,1766092785805,1766092786366,1766092786398,2760126,679485,561,32,-12.461845565049614
8,1766091535196,1766091566913,1766092075196,1766092785805,1766092795250,1766092795259,720063,688346,9445,9,-12.461845565049614
8,1766091006080,1766091566913,1766091546080,1766092796801,1766092796801,1766092796809,1250729,689896,0,8,-11.543762547759433
8,1766091277226,1766091566913,1766091817226,1766092796801,1766092796801,1766092796811,979585,689898,0,10,-11.543762547759433
5,1766091824223,1766091825600,1766092184223,1766092796801,1766092796801,1766092796815,612592,611215,0,14,-11.543762547759433
9,1766091535196,1766091566913,1766092135196,1766092856654,1766092856654,1766092856661,721465,689748,0,7,-13.2396689841756
9,1766089486272,1766091566913,1766090086272,1766092856654,1766092856654,1766092856661,2770389,689748,0,7,-13.2396689841756
9,1766091006080,1766091566913,1766091606080,1766092856654,1766092866152,1766092866168,1260088,699255,9498,16,-12.547012789163091
9,1766091277226,1766091566913,1766091877226,1766092875775,1766092875775,1766092875791,998565,708878,0,16,-13.433896337398375
6,1766091824223,1766091825600,1766092244223,1766092875776,1766092875776,1766092875792,631569,630192,0,16,-13.433896337398375
1,1766092850643,1766092856654,1766092970643,1766092905661,1766092910681,1766092911098,-59545,-65556,5020,417,-11.208240632486389
10,1766091535196,1766091566913,1766092195196,1766092916727,1766092916727,1766092916737,721541,689824,0,10,-11.543105701035197
10,1766089486272,1766091566913,1766090146272,1766092916727,1766092916727,1766092916739,2770467,689826,0,12,-11.543105701035197
10,1766091277226,1766091566913,1766091937226,1766092935836,1766092935836,1766092935843,998617,708930,0,7,-11.246665546875
10,1766091006080,1766091566913,1766091666080,1766092935836,1766092935836,1766092935848,1269768,708935,0,12,-11.246665546875
7,1766091824223,1766091825600,1766092304223,1766092935847,1766092935836,1766092935849,631626,630249,-11,13,-11.246665546875
2,1766092850643,1766092856654,1766093030643,1766092972289,1766092972276,1766092972289,-58354,-64365,-13,13,-11.602214798493412
11,1766091535196,1766091566913,1766092255196,1766092990672,1766092990665,1766092990673,735477,703760,-7,8,-11.752474421444527
11,1766089486272,1766091566913,1766090206272,1766092990674,1766092990665,1766092990675,2784403,703762,-9,10,-11.752474421444527
8,1766091824223,1766091825600,1766092364223,1766093002145,1766093002145,1766093002158,637935,636558,0,13,-12.365280826593807
11,1766091277226,1766091566913,1766091997226,1766093002145,1766093002145,1766093002160,1004934,715247,0,15,-12.365280826593807
11,1766091006080,1766091566913,1766091726080,1766093002145,1766093002145,1766093002161,1276081,715248,0,16,-12.365280826593807
3,1766092850643,1766092856654,1766093090643,1766093032314,1766093032314,1766093032321,-58322,-64333,0,7,-13.521861272570938
12,1766091535196,1766091566913,1766092315196,1766093055675,1766093055675,1766093055683,740487,708770,0,8,-12.11392255901831
12,1766089486272,1766091566913,1766090266272,1766093055675,1766093055675,1766093055683,2789411,708770,0,8,-12.11392255901831
9,1766091824223,1766091825600,1766092424223,1766093062238,1766093062230,1766093062240,638017,636640,-8,10,-11.956069187840997
12,1766091006080,1766091566913,1766091786080,1766093062230,1766093062230,1766093062241,1276161,715328,0,11,-11.956069187840997
12,1766091277226,1766091566913,1766092057226,1766093062230,1766093062230,1766093062244,1005018,715331,0,14,-11.956069187840997
4,1766092850643,1766092856654,1766093150643,1766093092348,1766093092340,1766093092349,-58294,-64305,-8,9,-13.039333285340314
13,1766091535196,1766091566913,1766092375196,1766093115903,1766093115890,1766093115904,740708,708991,-13,14,-12.636801206656582
13,1766089486272,1766091566913,1766090326272,1766093115904,1766093115890,1766093115905,2789633,708992,-14,15,-12.636801206656582
13,1766091006080,1766091566913,1766091846080,1766093122352,1766093122342,1766093122354,1276274,715441,-10,12,-12.593625707034482
10,1766091824223,1766091825600,1766092484223,1766093122359,1766093122342,1766093122359,638136,636759,-17,17,-12.593625707034482
13,1766091277226,1766091566913,1766092117226,1766093122358,1766093122342,1766093122360,1005134,715447,-16,18,-12.593625707034482
5,1766092850643,1766092856654,1766093210643,1766093152353,1766093152353,1766093152366,-58277,-64288,0,13,-12.891781938427842
14,1766091006080,1766091566913,1766091906080,1766093182363,1766093182363,1766093182426,1276346,715513,0,63,-11.741294776667308
14,1766089486272,1766091566913,1766090386272,1766093182433,1766093182364,1766093182437,2796165,715524,-69,73,-11.741294776667308
14,1766091277226,1766091566913,1766092177226,1766093182364,1766093182364,1766093182441,1005215,715528,0,77,-11.741294776667308
14,1766091535196,1766091566913,1766092435196,1766093182440,1766093182379,1766093182448,747252,715535,-61,69,-11.741294776667308
11,1766091824223,1766091825600,1766092544223,1766093182364,1766093182364,1766093182449,638226,636849,0,85,-11.741294776667308
1,1766093131385,1766093145723,1766093251385,1766093186935,1766093191459,1766093191978,-59407,-73745,4524,519,-12.471473923887974
